Rank	Game	Score	VoteCount	Years
189	Duke Nukem Forever	6.38	10889	2011
190	Mactabilis	6.34	7	2011
191	Tesla: The Weather Man	6.34	7	2011
192	Alien Zombie Megadeath	6.3	75	2011
193	A.R.E.S.: Extinction Agenda	6.29	909	2011
194	Trucks & Trailers	6.27	546	2011
195	Hamilton's Great Adventure	6.26	337	2011
196	Critical Mass	6.23	433	2011
197	Air Conflicts: Secret Wars	6.22	449	2011
198	The Interview: You Know What You've Got to Do to Get the Job	6.21	2	2011
199	Nakadashi Banzai 4	6.21	2	2011
200	Trauma	6.2	677	2011
201	Cryptozookeeper	6.2	6	2011
202	Smash Cars	6.19	54	2011
203	From Dust	6.18	2843	2011
204	STAR WARS™: The Old Republic™ - Public Test Server	6.12	77	2011
205	Who's That Flying?!	6.11	169	2011
206	Vertex Dispenser	6.1	32	2011
207	Illyriad - Grand Strategy MMO	6.07	177	2011
208	Baron Wittard	6.07	12	2011
209	Summer Resort Mogul	6.02	5	2011
210	APB Reloaded	6.02	37223	2011
211	Inside a Star-filled Sky	6.01	96	2011
212	Men of War: Vietnam	5.99	1225	2011
213	Luxor: 5th Passage	5.98	118	2011
214	Pirates of Black Cove	5.98	167	2011
215	The Treasures of Montezuma 3	5.97	530	2011
216	Data Jammers: FastForward	5.94	104	2011
217	BRINK	5.93	7918	2011
218	Two Worlds II HD	5.93	6663	2011
219	Off-Road Drive	5.92	679	2011
220	Alien Hallway	5.91	322	2011
221	Memoir '44 Online	5.9	613	2011
222	Age of Enigma: The Secret of the Sixth Ghost	5.88	45	2011
223	Greyhound Manager 2 Rebooted	5.87	22	2011
224	CAFE 0 ~The Drowned Mermaid~	5.85	173	2011
225	Hamilton's Great Adventure - Retro Fever DLC	5.84	1	2011
226	The Bloobles and the Quest for Chocolate	5.84	1	2011
227	The Artifacts	5.84	1	2011
228	snake::reloaded	5.84	1	2011
229	IHF Handball Challenge 12	5.82	82	2011
230	Achron	5.81	111	2011
231	Hotel Mogul: Las Vegas	5.81	7	2011
232	Hide and Secret: The Lost World	5.81	7	2011
233	Homefront	5.8	12694	2011
234	Explodemon	5.8	124	2011
235	Pioneerz	5.79	4	2011
236	Flower Shop: Winter In Fairbrook	5.79	110	2011
237	DETOUR	5.78	1782	2011
238	Anno 2070™	5.77	12296	2011
239	The Clockwork Man: The Hidden World	5.74	79	2011
240	Yar's Revenge	5.72	78	2011
241	Hydrophobia: Prophecy	5.71	2347	2011
242	Sengoku	5.7	461	2011
243	Fallen Earth Classic	5.69	7531	2011
244	Always Remember Me	5.66	267	2011
245	Steel Storm: Burning Retribution	5.63	363	2011
246	Time Mysteries 2: The Ancient Spectres	5.63	584	2011
247	Motorbike	5.62	62	2011
248	Tobe's Vertical Adventure	5.6	136	2011
249	Wasteland Angel	5.55	315	2011
250	Planet Stronghold	5.51	114	2011
1	Euro Truck Simulator 2	8.78	854828	2012
2	Dishonored	8.65	81940	2012
3	Hotline Miami	8.63	104958	2012
4	The Walking Dead	8.61	72669	2012
5	Castle Crashers®	8.56	124632	2012
6	Batman: Arkham City - Game of the Year Edition	8.52	67722	2012
7	Super Hexagon	8.49	24634	2012
8	FTL: Faster Than Light	8.47	74314	2012
9	Borderlands 2	8.44	290261	2012
10	XCOM: Enemy Unknown	8.3	56118	2012
11	Little Inferno	8.28	12739	2012
12	Primordia	8.28	3280	2012
13	Hitman: Absolution™	8.26	54893	2012
14	Perspective	8.25	1185	2012
15	Tales of Maj'Eyal	8.24	6669	2012
16	Botanicula	8.23	6216	2012
17	Torchlight II	8.23	44211	2012
18	Scribblenauts Unlimited	8.2	11666	2012
19	LEGO® Batman™ 2: DC Super Heroes	8.19	7245	2012
20	Notch - The Innocent LunA: Eclipsed SinnerS	8.18	3197	2012
21	Orcs Must Die! 2	8.18	19225	2012
22	Defender's Quest: Valley of the Forgotten (DX edition)	8.18	3452	2012
23	Sins of a Solar Empire®: Rebellion	8.18	15964	2012
24	Thomas Was Alone	8.17	9232	2012
25	Legend of Grimrock	8.13	6361	2012
26	Rayman® Origins	8.13	5024	2012
27	The Cat Lady	8.13	5644	2012
28	Hero of the Kingdom	8.1	4666	2012
29	The Darkness II	8.09	19644	2012
30	You Have to Win the Game	8.07	5667	2012
31	Alan Wake	8.06	48712	2012
32	Crusader Kings II	8.05	73628	2012
33	Far Cry 3	8.04	111790	2012
34	Ys: The Oath in Felghana	8.03	1920	2012
35	Ys Origin	8.03	3363	2012
36	Counter-Strike 2	8.03	8692731	2012
37	Escape Goat	8.01	692	2012
38	Blackwell Convergence	7.99	599	2012
39	Analogue: A Hate Story	7.97	2276	2012
40	Blackwell Deception	7.97	591	2012
41	LEGO® The Lord of the Rings™	7.95	13989	2012
42	Tiny and Big: Grandpa's Leftovers	7.94	4110	2012
43	Guns of Icarus Online	7.94	14641	2012
44	Sonic Adventure 2	7.91	24961	2012
45	Indie Game: The Movie	7.9	1850	2012
46	Blackwell Unbound	7.88	724	2012
47	The Book of Unwritten Tales	7.83	2077	2012
48	Chaos on Deponia	7.82	2778	2012
49	Juniper's Knot	7.81	292	2012
50	Critter Crunch	7.81	351	2012
51	The Old Tree	7.8	3303	2012
52	Avernum: Escape From the Pit	7.79	1217	2012
53	Triple Town	7.78	799	2012
54	Hegemony Gold: Wars of Ancient Greece	7.78	209	2012
55	Max Payne 3	7.78	56318	2012
56	Noitu Love 2: Devolution	7.76	631	2012
57	Tales From Space: Mutant Blobs Attack	7.75	900	2012
58	LEGO® Harry Potter: Years 5-7	7.75	3103	2012
59	Call of Duty®: Black Ops II	7.75	46680	2012
60	Ballads of Reemus: When the Bed Bites	7.75	84	2012
61	Abyss: The Wraiths of Eden	7.73	1469	2012
62	Edna & Harvey: Harvey's New Eyes	7.72	3123	2012
63	Deponia	7.71	12024	2012
64	Titan Attacks!	7.7	966	2012
65	Intrusion 2	7.7	2052	2012
66	Unmechanical	7.7	461	2012
67	Worms Revolution	7.69	8753	2012
68	The Blackwell Legacy	7.68	1538	2012
69	House of 1000 Doors: Family Secrets	7.68	148	2012
70	Magical Diary: Horse Hall	7.68	1013	2012
71	Luxor Evolved	7.67	348	2012
72	Stacking	7.67	1771	2012
73	DOOM 3	7.66	11138	2012
74	Toy Soldiers	7.66	1448	2012
75	DROD: Gunthro and the Epic Blunder	7.63	177	2012
76	Dustforce DX	7.62	2329	2012
77	Waking Mars	7.6	1187	2012
78	Disney•Pixar Brave: The Video Game	7.59	206	2012
79	Awesomenauts - the 2D moba	7.59	26713	2012
80	Stealth Bastard Deluxe	7.59	1173	2012
81	Natural Selection 2	7.58	13119	2012
82	Wrestling Revolution 2D	7.58	78	2012
83	The Dream Machine: Chapter 1 & 2	7.58	2164	2012
84	Dark Arcana: The Carnival	7.57	730	2012
85	Dead Pixels	7.57	2407	2012
86	Binary Domain	7.56	7633	2012
87	Tomb Raider II (1997)	7.56	2299	2012
88	Resonance	7.55	545	2012
89	The Dark Eye: Chains of Satinav	7.55	2345	2012
90	Tomb Raider I (1996)	7.51	4530	2012
91	Warlock - Master of the Arcane	7.51	2570	2012
92	Realm of the Mad God Exalt	7.51	46399	2012
93	Drox Operative	7.5	313	2012
94	Vessel	7.49	791	2012
95	Chivalry: Medieval Warfare	7.48	65501	2012
96	Cinders	7.48	779	2012
97	Hell Yeah! Wrath of the Dead Rabbit	7.48	3671	2012
98	Disney Princess: My Fairytale Adventure	7.47	301	2012
99	Splice	7.46	585	2012
100	House of 1000 Doors: The Palm of Zoroaster	7.45	71	2012
101	Gateways	7.45	247	2012
102	The Basement Collection	7.45	1490	2012
103	The Juicer	7.45	330	2012
104	Divinity II: Developer's Cut	7.44	4762	2012
105	Half Minute Hero: Super Mega Neo Climax Ultimate Boy	7.44	1463	2012
106	Insanely Twisted Shadow Planet	7.44	860	2012
107	McPixel	7.41	3901	2012
108	Dwarfs - F2P	7.41	1692	2012
109	Tomb Raider IV: The Last Revelation (1999)	7.4	1379	2012
110	The Promised Land	7.39	762	2012
111	Adventures of Shuggy	7.38	1198	2012
112	Nancy Drew®: The Deadly Device	7.38	80	2012
113	War of the Human Tanks	7.37	537	2012
114	PlanetSide 2	7.37	73395	2012
115	Dandelion - Wishes brought to you -	7.37	767	2012
116	Iron Brigade	7.37	1142	2012
117	Fly'N	7.37	494	2012
118	Closure	7.36	977	2012
119	Quantum Conundrum	7.36	2064	2012
120	Zombie Driver HD	7.36	3909	2012
121	Lone Survivor: The Director's Cut	7.36	1295	2012
122	Great Big War Game	7.35	68	2012
123	Eternal Journey: New Atlantis	7.35	68	2012
124	Fairy Bloom Freesia	7.34	1095	2012
125	The Lord of the Rings Online™	7.34	20711	2012
126	LaserCat	7.32	97	2012
127	Pid	7.32	2420	2012
128	Fortune Summoners	7.32	850	2012
129	Tomb Raider III (1998)	7.31	1493	2012
130	Symphony	7.31	1490	2012
131	They Bleed Pixels	7.31	2524	2012
132	Brink of Consciousness: Dorian Gray Syndrome Collector's Edition	7.29	301	2012
133	Penny Arcade's On the Rain-Slick Precipice of Darkness 3	7.28	582	2012
134	Dynamite Jack	7.27	424	2012
135	Lucius	7.27	10451	2012
136	Hard Reset Extended Edition	7.27	4796	2012
137	Waveform	7.26	2143	2012
138	Shank 2	7.26	3410	2012
139	Choice of Kung Fu	7.25	43	2012
140	Tribes: Ascend	7.24	8592	2012
141	Nancy Drew®: Tomb of the Lost Queen	7.24	121	2012
142	Yesterday	7.22	970	2012
143	ENDLESS™ Space - Definitive Edition	7.21	9347	2012
144	Decisive Campaigns: Case Blue	7.21	63	2012
145	7 Wonders: Ancient Alien Makeover	7.21	302	2012
146	Clean'Em Up	7.2	69	2012
147	Avernum 6	7.18	74	2012
148	Insane 2	7.17	614	2012
149	Cargo Commander	7.17	922	2012
150	Mandew vs the Colorless Curse	7.16	59	2012
151	Scania Truck Driving Simulator	7.14	1902	2012
152	Risen 2: Dark Waters	7.14	6300	2012
153	The Kite	7.14	828	2012
154	The Book of Unwritten Tales: The Critter Chronicles	7.13	446	2012
155	Gas Guzzlers: Combat Carnage	7.13	138	2012
156	Blood Bowl: Chaos Edition	7.12	1766	2012
157	EverQuest	7.12	2347	2012
158	Sine Mora	7.11	940	2012
159	iBomber Defense Pacific	7.11	587	2012
160	Auditorium	7.1	291	2012
161	Deadlight	7.1	12611	2012
162	Bang Bang Racing	7.1	629	2012
163	Graviteam Tactics: Operation Star	7.1	448	2012
164	The Testament of Sherlock Holmes	7.09	3553	2012
165	Pickers	7.09	223	2012
166	King's Bounty: Warriors of the North	7.08	1833	2012
167	Offspring Fling!	7.07	592	2012
168	Alien Shooter 2 Conscription	7.07	580	2012
169	Midnight Mysteries 4: Haunted Houdini	7.07	95	2012
170	Rocketbirds: Hardboiled Chicken	7.06	3126	2012
171	Legends of Atlantis: Exodus	7.06	88	2012
172	Venusian Vengeance	7.04	98	2012
173	Lunar Flight	7.03	672	2012
174	Need for Speed™ Most Wanted	7.03	22143	2012
175	Blades of Time	7.01	2469	2012
176	Atlantis: Pearls of the Deep	7	78	2012
177	Painkiller Hell & Damnation	6.98	4159	2012
178	Snuggle Truck	6.98	466	2012
179	Wargame: European Escalation	6.97	3302	2012
180	Miner Warfare	6.96	163	2012
181	Scoregasm	6.94	141	2012
182	Avernum 4	6.94	105	2012
183	Don't Kill the Cow	6.94	105	2012
184	Dogfight 1942	6.94	1085	2012
185	Commander: The Great War	6.94	282	2012
186	Rotastic	6.93	45	2012
187	MacGuffin's Curse	6.93	129	2012
188	PlanetSide 2 - Test	6.93	129	2012
189	Unity of Command: Stalingrad Campaign	6.92	990	2012
190	Heroes Rise: The Prodigy	6.92	404	2012
191	Conquest of Elysium 3	6.92	320	2012
192	PixelJunk™ Eden	6.91	778	2012
193	Prototype 2	6.91	14829	2012
194	Superbrothers: Sword & Sworcery EP	6.9	2602	2012
195	Primal Carnage	6.9	5831	2012
196	Giana Sisters: Twisted Dreams	6.9	1888	2012
197	Theatre Of The Absurd	6.89	267	2012
198	Life in the Dorms	6.88	14	2012
199	Kung Fu Strike - The Warrior's Rise	6.87	1133	2012
200	Reversion - The Escape (1st Chapter)	6.87	1535	2012
201	Avernum 5	6.84	41	2012
202	Disney Epic Mickey 2: The Power of Two	6.83	1177	2012
203	Miasmata	6.83	1205	2012
204	Sacred 2 Gold	6.82	3435	2012
205	Pineapple Smash Crew	6.8	121	2012
206	Galaxy on Fire 2™ Full HD	6.8	2135	2012
207	1000 Amps	6.8	337	2012
208	Unstoppable Gorg	6.78	299	2012
209	Containment: The Zombie Puzzler	6.77	288	2012
210	Mass Effect™ 3 N7 Digital Deluxe Edition (2012)	6.74	2525	2012
211	Really Big Sky	6.72	1897	2012
212	Evochron Mercenary	6.72	431	2012
213	LogiGun	6.69	63	2012
214	A New Beginning - Final Cut	6.69	1974	2012
215	Mabinogi	6.68	3934	2012
216	Sonic the Hedgehog 4 - Episode II	6.66	2041	2012
217	iBomber Attack	6.66	171	2012
218	ETHER VAPOR Remaster	6.66	304	2012
219	Alan Wake's American Nightmare	6.65	8870	2012
220	Tobari and the Night of the Curious Moon	6.64	82	2012
221	Of Orcs And Men	6.64	1967	2012
222	9th Dawn Classic - Clunky controls edition	6.63	29	2012
223	SEAL Team 12	6.61	24	2012
224	Port Royale 3	6.58	1471	2012
225	Monsters' Den Chronicles	6.56	69	2012
226	Cortex Command	6.55	5973	2012
227	Dragon Nest	6.55	2294	2012
228	Game of Thrones	6.54	2312	2012
229	Tomb Raider V: Chronicles (2000)	6.54	853	2012
230	Diehard Dungeon	6.54	495	2012
231	Jagged Alliance - Back in Action	6.54	1703	2012
232	Tower Wars	6.53	1749	2012
233	Dungeons & Dragons Online®	6.52	7151	2012
234	BIT.TRIP VOID	6.51	94	2012
235	Planets Under Attack	6.49	1115	2012
236	Puddle	6.48	498	2012
237	Sea Legends: Phantasmal Light Collector's Edition	6.47	147	2012
238	Midnight Mysteries 3: Devil on the Mississippi	6.45	127	2012
239	My Ex-Boyfriend the Space Tyrant	6.45	127	2012
240	Continent of the Ninth Seal	6.45	1408	2012
241	Dead Hungry Diner	6.43	144	2012
242	Curious Alice	6.43	3	2012
243	CAPSULE	6.42	178	2012
244	Abandoned: Chestnut Lodge Asylum	6.41	32	2012
245	Snapshot	6.41	251	2012
246	Death Rally	6.41	800	2012
247	Critical Damage	6.41	20	2012
248	Alea Jacta Est	6.4	127	2012
249	Secret Files 3	6.4	180	2012
250	All Zombies Must Die!: Scorepocalypse	6.4	80	2012
1	Papers, Please	8.61	73453	2013
2	Tomb Raider	8.61	246082	2013
3	The Wolf Among Us	8.6	35327	2013
4	Don't Starve	8.59	109311	2013
5	Outlast	8.59	124743	2013
6	Age of Empires II (Retired)	8.52	101087	2013
7	The Walking Dead: Season Two	8.49	31405	2013
8	Gunpoint	8.48	13055	2013
9	Project Zomboid	8.48	366605	2013
10	Game Dev Tycoon	8.42	43250	2013
11	Call of Juarez: Gunslinger	8.4	40054	2013
12	BioShock Infinite	8.39	139798	2013
13	LEGO® Marvel™ Super Heroes	8.38	25779	2013
14	Trine 2: Complete Story	8.37	21613	2013
15	Brothers - A Tale of Two Sons	8.35	40908	2013
16	Dust: An Elysian Tail	8.35	18575	2013
17	Antichamber	8.33	17055	2013
18	PAC-MAN™ Championship Edition DX+	8.28	7825	2013
19	Risk of Rain (2013)	8.25	29579	2013
20	DmC: Devil May Cry	8.23	29236	2013
21	Long Live The Queen	8.23	7032	2013
22	Enigmatis 2: The Mists of Ravenwood	8.22	1543	2013
23	Sonic & All-Stars Racing Transformed Collection	8.21	17050	2013
24	The Stanley Parable	8.21	44905	2013
25	FINAL FANTASY VII	8.2	27623	2013
26	Space Rangers HD: A War Apart	8.19	6605	2013
27	Brutal Legend	8.19	18846	2013
28	Cook, Serve, Delicious!	8.18	5592	2013
29	SteamWorld Dig	8.17	8062	2013
30	Arma 3	8.17	281365	2013
31	The Swapper	8.17	7331	2013
32	Rogue Legacy	8.16	18452	2013
33	PAYDAY 2	8.15	662567	2013
34	Deus Ex: Human Revolution - Director's Cut	8.15	27910	2013
35	The Plan	8.15	23006	2013
36	FEZ	8.14	15354	2013
37	Shadow Warrior	8.14	26058	2013
38	Super House of Dead Ninjas	8.13	1697	2013
39	Race The Sun	8.13	6293	2013
40	100% Orange Juice	8.12	28003	2013
41	Super Amazing Wagon Adventure	8.11	1923	2013
42	Baldur's Gate: Enhanced Edition	8.11	16244	2013
43	Spelunky	8.1	16248	2013
44	Guacamelee! Gold Edition	8.08	5948	2013
45	Path of Exile	8.07	233996	2013
46	Just Cause 2: Multiplayer Mod	8.06	14826	2013
47	Touhou Kishinjou ~ Double Dealing Character.	8.06	371	2013
48	Baldur's Gate II: Enhanced Edition	8.05	9929	2013
49	Farming Simulator 2013 Titanium Edition	8.03	5245	2013
50	Papo & Yo	8.02	2830	2013
51	140	8.01	4583	2013
52	Tetrobot and Co.	8	500	2013
53	If My Heart Had Wings	8	4546	2013
54	Batman™: Arkham Origins	8	56538	2013
55	fault - milestone one	7.98	3217	2013
56	Stick it to The Man!	7.96	850	2013
57	Viscera Cleanup Detail: Santa's Rampage	7.95	5765	2013
58	Warframe	7.95	620047	2013
59	Cry of Fear	7.94	72998	2013
60	Savant - Ascent	7.94	2803	2013
61	Monaco: What's Yours Is Mine	7.94	8523	2013
62	Sanctum 2	7.94	14272	2013
63	Bleed	7.93	1875	2013
64	BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien	7.93	3045	2013
65	NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD	7.91	13881	2013
66	Contrast	7.91	5452	2013
67	Saints Row IV: Re-Elected	7.9	77107	2013
68	Castle of Illusion	7.87	3853	2013
69	Rayman® Legends	7.86	9637	2013
70	Tennis Elbow 2013	7.86	709	2013
71	Ittle Dew	7.83	1313	2013
72	Europa Universalis IV	7.83	133308	2013
73	Hammerwatch	7.83	6433	2013
74	Rising Storm Game of the Year Edition	7.82	107	2013
75	Nameless ~The one thing you must recall~	7.82	747	2013
76	Shadowrun Returns	7.82	13330	2013
77	Clockwork Tales: Of Glass and Ink	7.82	1107	2013
78	Electronic Super Joy	7.81	3292	2013
79	Drunken Wrestlers	7.8	598	2013
80	Far Cry 3 - Blood Dragon	7.8	17461	2013
81	Marlow Briggs and the Mask of Death	7.8	2334	2013
82	TrackMania² Stadium	7.78	6561	2013
83	10,000,000	7.78	2294	2013
84	Slender: The Arrival	7.77	9017	2013
85	FINAL FANTASY VIII	7.77	9016	2013
86	Garfield Kart	7.77	14045	2013
87	Dominions 4: Thrones of Ascension	7.76	1444	2013
88	The Night of the Rabbit	7.75	3149	2013
89	DLC Quest	7.75	6247	2013
90	Pool Nation	7.73	2823	2013
91	The Dark Eye: Memoria	7.73	2348	2013
92	Sniper Elite: Nazi Zombie Army	7.72	4586	2013
93	9 Clues: The Secret of Serpent Creek	7.72	1473	2013
94	Ys I & II Chronicles+	7.71	2706	2013
95	DuckTales: Remastered	7.71	7331	2013
96	Samurai GUNN	7.7	445	2013
97	Battlefield 4™	7.7	69394	2013
98	Oknytt	7.69	581	2013
99	Journey of a Roach	7.69	1947	2013
100	Nancy Drew®: Ghost of Thornton Hall	7.69	283	2013
101	Goodbye Deponia	7.69	2341	2013
102	Nihilumbra	7.68	2944	2013
103	Angry Video Game Nerd Adventures	7.68	3141	2013
104	Injustice: Gods Among Us Ultimate Edition	7.68	19087	2013
105	The Inner World	7.67	1373	2013
106	Nimble Quest	7.67	759	2013
107	Organ Trail: Director's Cut	7.67	3055	2013
108	Megabyte Punch	7.66	1104	2013
109	CastleStorm	7.66	1587	2013
110	Skulls of the Shogun	7.66	805	2013
111	The Typing of The Dead: Overkill	7.65	3766	2013
112	Unholy Heights	7.65	1584	2013
113	Intake	7.65	391	2013
114	Wargame: Airland Battle	7.65	4393	2013
115	Sabres of Infinity	7.63	166	2013
116	The Bridge	7.62	4296	2013
117	Soundodger+	7.62	808	2013
118	Choice of the Deathless	7.61	326	2013
119	PixelJunk™ Shooter	7.61	600	2013
120	SLAMMED!	7.61	107	2013
121	Eldritch	7.61	2194	2013
122	The Cave	7.6	2796	2013
123	MURI	7.6	477	2013
124	Vector	7.6	1186	2013
125	OMSI 2: Steam Edition	7.59	12941	2013
126	Sang-Froid - Tales of Werewolves	7.59	1918	2013
127	Soul Gambler	7.59	2703	2013
128	ENSLAVED™: Odyssey to the West™ Premium Edition	7.58	7526	2013
129	Artemis Spaceship Bridge Simulator	7.58	463	2013
130	Train Simulator: Pacific Surfliner® LA - San Diego Route	7.57	38	2013
131	Duck Life 4	7.57	234	2013
132	Super Puzzle Platformer Deluxe	7.56	500	2013
133	Total War: ROME II - Emperor Edition	7.56	87360	2013
134	Eryi's Action	7.56	1383	2013
135	Dota 2	7.55	2464048	2013
136	Gas Guzzlers Extreme	7.54	3991	2013
137	Knock-knock	7.53	1906	2013
138	The Apogee Throwback Pack	7.52	335	2013
139	Super Sanctum TD	7.52	1552	2013
140	Ultratron	7.51	683	2013
141	Sinking Simulator	7.49	4276	2013
142	Area-X	7.48	29	2013
143	The Journey Down: Chapter One	7.47	1284	2013
144	Shelter	7.47	3666	2013
145	Sniper Elite: Nazi Zombie Army 2	7.46	4119	2013
146	FINAL FANTASY® XI: Ultimate Collection Seekers Edition	7.46	340	2013
147	Knights and Merchants	7.46	4627	2013
148	King Arthur's Gold	7.45	5190	2013
149	Old School RuneScape	7.44	18058	2013
150	Edna & Harvey: The Breakout	7.43	1602	2013
151	Teleglitch: Die More Edition	7.43	2867	2013
152	Nancy Drew®: The Silent Spy	7.43	146	2013
153	Remember Me	7.43	15967	2013
154	Go Home Dinosaurs!	7.42	596	2013
155	Oozi: Earth Adventure	7.41	997	2013
156	How to Survive	7.41	17006	2013
157	Hard Time	7.4	297	2013
158	The Incredible Adventures of Van Helsing	7.39	9953	2013
159	Flashpoint Campaigns: Red Storm Player's Edition	7.38	249	2013
160	Teslagrad	7.38	2423	2013
161	Surgeon Simulator	7.38	16427	2013
162	Thunder Wolves	7.36	769	2013
163	Valdis Story: Abyssal City	7.35	2686	2013
164	Coin Crypt	7.35	598	2013
165	Toki Tori 2+	7.34	1034	2013
166	Anodyne	7.34	1524	2013
167	ShootMania Storm	7.34	851	2013
168	Evoland	7.33	5855	2013
169	Ballad of Solar	7.32	204	2013
170	Final Exam	7.31	1236	2013
171	Divekick	7.31	1819	2013
172	Sword of the Stars: The Pit	7.3	1524	2013
173	Fieldrunners 2	7.3	497	2013
174	Knights of Pen and Paper +1 Edition	7.28	3216	2013
175	7 days with Death	7.28	61	2013
176	Another World – 20th Anniversary Edition	7.25	1928	2013
177	9.03m	7.25	1133	2013
178	Bloody Trapland	7.25	3982	2013
179	Tom Clancy’s Splinter Cell Blacklist	7.24	19634	2013
180	Resident Evil Revelations	7.24	15024	2013
181	Knytt Underground	7.24	459	2013
182	Castlevania: Lords of Shadow – Ultimate Edition	7.24	9186	2013
183	FootLOL: Epic Soccer League	7.23	1083	2013
184	Shufflepuck Cantina Deluxe	7.23	533	2013
185	Urban Trial Freestyle	7.23	1662	2013
186	Company of Heroes 2	7.23	109310	2013
187	Scribblenauts Unmasked: A DC Comics Adventure	7.23	2305	2013
188	Alex Hunter: Lord of the Mind	7.21	63	2013
189	The Yawhg	7.21	1423	2013
190	Syder Arcade	7.21	683	2013
191	Ossuary	7.2	40	2013
192	Left in the Dark: No One on Board	7.2	751	2013
193	Tomb Raider - The Final Hours Digital Book	7.2	204	2013
194	SightLineVR	7.19	47	2013
195	Hate Plus	7.18	586	2013
196	Volgarr the Viking	7.18	2410	2013
197	Ring Runner: Flight of the Sages	7.17	810	2013
198	Resident Evil 6	7.17	53833	2013
199	Element4l	7.17	651	2013
200	Viscera Cleanup Detail: Shadow Warrior	7.17	4407	2013
201	An Occurrence at Owl Creek Bridge	7.16	52	2013
202	Kentucky Route Zero: PC Edition	7.15	4068	2013
203	Dungeons & Dragons: Chronicles of Mystara	7.15	1812	2013
204	Retro/Grade	7.15	391	2013
205	Hive	7.14	296	2013
206	Time Mysteries 3: The Final Enigma	7.14	438	2013
207	Tribloos 2	7.14	300	2013
208	Finding Teddy	7.13	988	2013
209	rFactor 2	7.13	8422	2013
210	Cognition: An Erica Reed Thriller	7.13	794	2013
211	Zombie Derby	7.12	125	2013
212	Mr. Bree+	7.11	232	2013
213	Receiver	7.1	4132	2013
214	Neverwinter	7.08	38434	2013
215	Strike Suit Infinity	7.08	620	2013
216	Romans from Mars (Free-to-Play)	7.07	26	2013
217	The Shivah	7.06	827	2013
218	The Treasures of Montezuma 4	7.06	637	2013
219	Farm for your Life	7.06	632	2013
220	La-Mulana	7.06	2450	2013
221	Giana Sisters: Twisted Dreams - Rise of the Owlverlord	7.05	422	2013
222	Droid Assault	7.05	370	2013
223	PixelJunk™ Monsters Ultimate	7.04	1212	2013
224	Reus	7.03	5813	2013
225	Type:Rider	7.02	1657	2013
226	Gone Home	7	17822	2013
227	Worms Clan Wars	7	3133	2013
228	Rising Angels: Reborn	7	589	2013
229	TrackMania² Valley	6.99	613	2013
230	Absent	6.98	391	2013
231	Disney Planes	6.98	103	2013
232	Namariel Legends: Iron Lord Premium Edition	6.98	145	2013
233	Dark Angels: Masquerade of Shadows	6.97	251	2013
234	Expeditions: Conquistador	6.96	1537	2013
235	Formula Truck 2013	6.96	213	2013
236	Sir, You Are Being Hunted	6.95	3877	2013
237	Wizardry 7: Crusaders of the Dark Savant	6.95	251	2013
238	MotoGP™13	6.95	1015	2013
239	Farm Frenzy 4	6.95	436	2013
240	Draw a Stickman: EPIC	6.94	1231	2013
241	Anomaly 2	6.94	1017	2013
242	A Walk in the Dark	6.93	385	2013
243	Foul Play	6.92	651	2013
244	Tiny Barbarian DX	6.92	245	2013
245	Solar War	6.91	33	2013
246	古剑奇谭二(GuJian2)	6.91	2820	2013
247	Paper Sorcerer	6.9	634	2013
248	Monster Loves You!	6.9	1189	2013
249	ORION: Prelude	6.89	28490	2013
250	Zeno Clash 2	6.89	1363	2013
1	The Binding of Isaac: Rebirth	8.72	336863	2014
2	South Park™: The Stick of Truth™	8.63	67613	2014
3	BattleBlock Theater®	8.61	71452	2014
4	The Room	8.58	28673	2014
5	One Finger Death Punch	8.53	16279	2014
6	METAL GEAR RISING: REVENGEANCE	8.53	82274	2014
7	The Expendabros	8.49	18162	2014
8	Kingdom Rush - Tower Defense	8.48	14579	2014
9	Everlasting Summer	8.43	75167	2014
10	Geometry Dash	8.43	408489	2014
11	The Talos Principle	8.41	31642	2014
12	Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™	8.4	25786	2014
13	NEKOPARA Vol. 1	8.38	26878	2014
14	Shovel Knight: Treasure Trove	8.38	16038	2014
15	Hexcells	8.35	5670	2014
16	LISA: The Painful	8.35	14486	2014
17	Hexcells Infinite	8.34	4403	2014
18	Princess Remedy in a World of Hurt	8.33	2862	2014
19	Sleeping Dogs: Definitive Edition	8.33	67894	2014
20	Resident Evil 4 (2005)	8.32	81068	2014
21	Transistor	8.3	30527	2014
22	Creeper World 3: Arc Eternal	8.3	4622	2014
23	Assetto Corsa	8.3	148113	2014
24	LYNE	8.3	8172	2014
25	This War of Mine	8.3	101173	2014
26	Five Nights at Freddy's	8.3	51658	2014
27	Alien: Isolation	8.29	60009	2014
28	Epic Battle Fantasy 4	8.29	3144	2014
29	Rise of Nations: Extended Edition	8.28	14584	2014
30	Mount Your Friends	8.27	7699	2014
31	Bloons TD 5	8.26	11477	2014
32	Hidden in Plain Sight	8.26	832	2014
33	Middle-earth™: Shadow of Mordor™	8.26	89795	2014
34	Five Nights at Freddy's 2	8.25	22470	2014
35	Age of Mythology: Extended Edition	8.24	35121	2014
36	Insurgency	8.23	124941	2014
37	Door Kickers	8.22	9813	2014
